Идентификатор,Наименование,Группа способов,Уровень возможностей нарушителя,Возможные реализуемые угрозы,Возможные меры защиты,Условия реализации,Выполняемые действия,Последствия реализации,Идентификаторы других систем,Ссылки на источник
СП.1.1,Эксплуатация известных уязвимостей,СП.1 Эксплуатация уязвимостей,"В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации","ОПС.2.5 Определение и применение параметров настройки компонентов программного обеспечения, включая программные компоненты средств защиты информации, обеспечивающих реализацию мер защиты информации, а также устранение возможных уязвимостей информационной системы, приводящих к возникновению угроз безопасности информации;
АУД.2.1 Выявление (поиск) уязвимостей, связанных с ошибками кода в программном (микропрограммном) обеспечении (общесистемном, прикладном, специальном), а также программном обеспечении средств защиты информации, правильностью установки и настройки средств защиты информации, технических средств и программного обеспечения, а также корректностью работы средств защиты информации при их взаимодействии с техническими средствами и программным обеспечением ;
АУД.2.2 Разработка по результатам выявления (поиска) уязвимостей отчетов с описанием выявленных уязвимостей и планом мероприятий по их устранению; анализ отчетов с результатами поиска уязвимостей и оценки достаточности реализованных мер защиты информации ;
АУД.2.3 Устранение выявленных уязвимостей, в том числе путем установки обновлений программного обеспечения средств защиты информации, общесистемного программного обеспечения, прикладного программного обеспечения или микропрограммного обеспечения технических средств ;
АУД.2.4 Информирование должностных лиц оператора (пользователей, администраторов, подразделения по защите информации) о результатах поиска уязвимостей и оценки достаточности реализованных мер защиты информации ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.1.2,"Эксплуатация уязвимостей ""нулевого дня""",СП.1 Эксплуатация уязвимостей,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации","ОПС.2.5 Определение и применение параметров настройки компонентов программного обеспечения, включая программные компоненты средств защиты информации, обеспечивающих реализацию мер защиты информации, а также устранение возможных уязвимостей информационной системы, приводящих к возникновению угроз безопасности информации;
АУД.2.1 Выявление (поиск) уязвимостей, связанных с ошибками кода в программном (микропрограммном) обеспечении (общесистемном, прикладном, специальном), а также программном обеспечении средств защиты информации, правильностью установки и настройки средств защиты информации, технических средств и программного обеспечения, а также корректностью работы средств защиты информации при их взаимодействии с техническими средствами и программным обеспечением ;
АУД.2.2 Разработка по результатам выявления (поиска) уязвимостей отчетов с описанием выявленных уязвимостей и планом мероприятий по их устранению; анализ отчетов с результатами поиска уязвимостей и оценки достаточности реализованных мер защиты информации ;
АУД.2.4 Информирование должностных лиц оператора (пользователей, администраторов, подразделения по защите информации) о результатах поиска уязвимостей и оценки достаточности реализованных мер защиты информации ",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.1,"Использование недостатков, связанных с неполнотой проверки вводимых (входных) данных",СП.2 Использование недостатков конфигурации,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","ОЦЛ.3.1 Ограничение прав пользователей по вводу информации в информационную систему (ограничение по вводу в определенные типы объектов доступа (объекты файловой системы, объекты баз данных, объекты прикладного и специального программного обеспечения) информации исходя из задач и полномочий, решаемых пользователем в информационной системе);
ОЦЛ.4.2 Вводимые данные должны проверяться на наличие конструкций, которые могут быть интерпретированы программно-техническими средствами информационной системы как исполняемые команды;
УКФ.2.2 Оценка возможных последствий от внесения изменений в конфигурацию;
УКФ.4.1 Контроль действий по внесению изменений в информационной системе",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.2,"Использование недостатков, связанных с управлением учетными данными",СП.2 Использование недостатков конфигурации,"В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","УПД.1.1 Определение типа учетной записи (внутреннего пользователя, внешнего пользователя; системная, приложения; гостевая (анонимная), временная и (или) иные типы записей);
УПД.1.2 Объединение учетных записей в группы (при необходимости);
УПД.1.3 Верификация пользователя (проверка личности пользователя, его должностных (функциональных) обязанностей) при заведении учетной записи пользователя;
УПД.1.4 Заведение, активация, блокирование и уничтожение учетных записей пользователей;
УПД.1.5 Пересмотр и, при необходимости, корректировка учетных записей пользователей с периодичностью, определяемой субъектом;
УПД.1.6 Регламентация и контроль использования гостевых (анонимных) и временных учетных записей пользователей, а также привилегированных учетных записей администраторов;
УПД.1.7 Оповещение администратора, осуществляющего управление учетными записями пользователей, об изменении сведений о пользователях, их ролях, обязанностях, полномочиях, ограничениях;
УПД.1.8 Уничтожение временных учетных записей пользователей, предоставленных для однократного (ограниченного по времени) выполнения задач;
УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.3,"Использование недостатков, связанных с отсутствием проверки достоверности отправителя и/или получателя",СП.2 Использование недостатков конфигурации,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","ЗИС.26.1 Аутентификация сервера, являющегося источником ответов на запросы (сервер доменных имен или DNS\002сервер) по определению сетевых адресов (IP-адресов) по сетевым именам (доменные имена) ;
ЗИС.26.2  Аутентификация сервера, являющегося источником ответов на запросы (кэширующийDNS-сервер) по определению сетевых имен (доменных имен) по сетевым адресам (IP-адресам) ;
ЗИС.27.1 Обеспечение подлинности сетевых соединений (сеансов взаимодействия), в том числе для защиты от подмены сетевых устройств и сервисов (защита от атак типа «человек посередине»);
ЗИС.28.1 Определение объектов или типов информации, для которых требуется обеспечение неотказуемости отправки (например, сообщения электронной почты ;
ЗИС.28.3 Регистрация событий, связанных с отправкой информации другому пользователю ;
ЗИС.29.1 Определение объектов или типов информации, для которых требуется обеспечение неотказуемости получения (сообщения электронной почты) ;
ЗИС.29.3 Регистрация событий, связанных с получением информации от другого пользователя ;
ЗИС.31.1 Выявление и анализ скрытых каналов передачи информации для определения параметров передачи информации, которые могут использоваться для скрытого хранения информации и скрытой передачи информации за пределы информационной системы;
ЗИС.35.2 Обеспечение доверенных канала, маршрута внутри инфраструктуры между администратором, пользователем и средствами защиты информации (функциями безопасности);
ЗИС.35.5 Обеспечение подлинности сетевых соединений (сеансов взаимодействия) внутри инфраструктуры, в том числе для защиты от подмены сетевых устройств и сервисов;
УКФ.0.1 Разработка правил и процедур (политик) управления конфигурацией информационной (автоматизированной) системы;
УКФ.1.1 Идентификация сетевых подключений информационной системы к внешним информационным системам и сетям;
УКФ.1.2 Идентификация сетевых подключений внешних информационных систем и сетей к информационной системе",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.4,"Использование недостатков, связанных с хранением ключевой информации в программном коде (в оперативной памяти)",СП.2 Использование недостатков конфигурации,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","АУД.2.1 Выявление (поиск) уязвимостей, связанных с ошибками кода в программном (микропрограммном) обеспечении (общесистемном, прикладном, специальном), а также программном обеспечении средств защиты информации, правильностью установки и настройки средств защиты информации, технических средств и программного обеспечения, а также корректностью работы средств защиты информации при их взаимодействии с техническими средствами и программным обеспечением ;
УПД.1.9 Предоставление пользователям прав доступа к объектам доступа, основываясь на задачах, решаемых пользователями;
ЗИС.12.1 Изоляция процессов (выполнение программ) в выделенной области памяти",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.5,"Использование недостатков, связанных с передачей ключевой информации по системным шинам",СП.2 Использование недостатков конфигурации,"В.3 Нарушитель, обладающий средними возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","ОЦЛ.1.5 Обеспечение физической защиты технических средств информационной системы;
ЗТС.3.1 Контроль и управление физическим доступом к техническим средствам, средствам защиты информации, средствам обеспечения функционирования, а также в помещения и сооружения, в которых они установлены, исключающие несанкционированный физический доступ к средствам обработки информации, средствам защиты информации и средствам обеспечения функционирования информационной системы и помещения и сооружения, в которых они установлены;
ЗИС.2.1 Управление (контроль) входящими в информационную систему и исходящими из информационной системы информационными потоками на физической и (или) логической границе информационной системы (сегментов информационной системы);
ЗИС.2.2 Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.6,"Использование недостатков, связанных с использованием нестойкой криптографии",СП.2 Использование недостатков конфигурации,"В.3 Нарушитель, обладающий средними возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","ЗИС.2.1 Управление (контроль) входящими в информационную систему и исходящими из информационной системы информационными потоками на физической и (или) логической границе информационной системы (сегментов информационной системы);
ЗИС.2.2 Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.7,"Использование недостатков, связанных с некорректной настройкой сетевого доступа",СП.2 Использование недостатков конфигурации,"В.2 Нарушитель, обладающий базовыми повышенными возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника","УКФ.1.1 Идентификация сетевых подключений информационной системы к внешним информационным системам и сетям;
УКФ.1.2 Идентификация сетевых подключений внешних информационных систем и сетей к информационной системе;
ЗИС.2.2 Обеспечение взаимодействия информационной системы и (или) ее сегментов с иными информационными системами и сетями только через сетевые интерфейсы, которые обеспечивают управление (контроль) информационными потоками с использованием средств защиты информации (управляемые (контролируемые) сетевые интерфейсы), установленных на физическом и (или) логическом периметре информационной системы или ее отдельных сегментов (маршрутизаторов, межсетевых экранов, коммутаторов, прокси-серверов, шлюзов безопасности, средств построения виртуальных частных сетей и иных средств защиты информации)",Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
СП.2.8,"Использование недостатков конфигурации, связанных с настройками по умолчанию (включая пароли по умолчанию)",СП.2 Использование недостатков конфигурации,"В.1 Нарушитель, обладающий базовыми возможностями","УБИ.1 Угроза утечки информации;
УБИ.2 Угроза несанкционированного доступа;
УБИ.3 Угроза несанкционированной модификации (искажения);
УБИ.4 Угроза несанкционированной подмены;
УБИ.5 Угроза удаления информационных ресурсов;
УБИ.6 Угроза отказа в обслуживании;
УБИ.7 Угроза ненадлежащего (нецелевого) использования;
УБИ.8 Угроза нарушения функционирования (работоспособности);
УБИ.10 Угроза распространения противоправной информации;
УБИ.11 Угроза несанкционированного массового сбора информации;
УБИ.9 Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника",ИАФ.4.2 Выдача средств аутентификации пользователям; генерация и выдача начальной аутентификационной информации (начальных значений средств аутентификации),Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются,Данные уточняются
