Идентификатор,Наименование,Описание
УБИ.1,Угроза утечки информации,"Угроза заключается в возможности противоправного получения либо передачи информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, утечка персональных данных вследствие нарушения хранения или нарушения конфигурации"
УБИ.2,Угроза несанкционированного доступа,"Угроза заключается в получении доступа к информационным ресурсам, нарушающего установленные в информационной системе правила разграничения доступа.
Например, несанкционированный доступ к информации, хранимой на файловом хранилище"
УБИ.3,Угроза несанкционированной модификации (искажения),"Угроза заключается в изменении содержания или формы представления обрабатываемой в информационной системе информации (конфиденциальной, конфигурационной, аутентификационной и др.), нарушающем установленный в информационной системе порядок обработки информации.
Например, искажение содержимого веб-сервера"
УБИ.4,Угроза несанкционированной подмены,"Угроза заключается во внедрении ложного или подмене существующего компонента информационной системы и (или) обрабатываемой с его использованием информации.
Например, подмена DNS-сервера"
УБИ.5,Угроза удаления информационных ресурсов,"Угроза заключается в несанкционированном удалении обрабатываемой в информационной системе информации (конфиденциальной, конфигурационной, аутентификационной и др.).
Например, удаление информации, обрабатываемой в базе данных, в обход существующих механизмов разграничения доступа"
УБИ.6,Угроза отказа в обслуживании,"Угроза заключается в недоступности информационной системы или ее компонентов и (или) приостановлении оказания услуг или предоставления сервисов для авторизованных пользователей.
Например, угроза отказ в доступе к Интернет-сайту авторизованным пользователям"
УБИ.7,Угроза ненадлежащего (нецелевого) использования,"Угроза заключается в использовании вычислительных ресурсов средств вычислительной техники для осуществления сторонних, не предусмотренных технологией обработки информации, процессов.
Например, неправомерный майнинг криптовалюты"
УБИ.8,Угроза нарушения функционирования (работоспособности),"Угроза заключается в частичной или полной утрате работоспособности или функциональности компонента или информационной системы в целом.
Например, нарушение функционирования межсетевого экрана, включая преодоление или обход его функций безопасности, в результате несанкционированного воздействия"
УБИ.9,Угроза получения информационных ресурсов из недоверенного или скомпрометированного источника,"Угроза заключается в нарушении функционирования информационной системы и (или) внедрении в ее состав вредоносных программных или программно-аппаратных средств в результате получения компонентов информационной системы из недоверенных (происхождение или принадлежность которого неизвестны) или  легитимных скомпрометированных источников.

Например: 
внедрение в информационную систему вредоносного программного обеспечения в результате установки программного обеспечения из файлообменных сетей;
внедрение в информационную систему вредоносного программного обеспечения в результате загрузки и установки обновлений программного обеспечения из легитимных Интернет-ресурсов производителя,  скомпрометированных нарушителем"
УБИ.10,Угроза распространения противоправной информации,"Угроза заключается в распространении противоправной информации с применением информационной системы или ее компонентов, а также в возможности осуществления с их использованием вредоносного воздействия на другие информационные системы.
Например: 
отправка электронных писем со ссылками на вредоносные ресурсы (фишинг) с сервера электронной почты организации;
противоправная рассылка электронных писем с сервера электронной почты организации (спам)"
УБИ.11,Угроза несанкционированного массового сбора информации,"Угроза заключается в несанкционированном сборе информации, обрабатываемой информационной системой или ее компонентами, с использованием автоматизированных средств сбора данных (\\""парсеров\\"", скриптов автоматизации и др.).
Например, несанкционированный парсинг информации с веб-сервера"
